n,p,t
1500,1125750,22100
1500,1125750,22285
1500,1125750,22241
1500,1125750,22343
1500,1125750,21570
1500,1125750,22401
1500,1125750,22744
1500,1125750,22466
1500,1125750,21659
1500,1125750,22338
1500,1125750,22187
1500,1125750,22227
1500,1125750,21487
1500,1125750,22114
1500,1125750,21618
1500,1125750,22713
1500,1125750,21470
1500,1125750,22032
1500,1125750,21762
1500,1125750,22263
1500,1125750,21802
1500,1125750,22040
1500,1125750,21496
1500,1125750,22062
1500,1125750,21454
1500,1125750,22512
1500,1125750,21484
1500,1125750,22265
1500,1125750,21456
1500,1125750,22218
1500,1125750,21483
1500,1125750,22148
1500,1125750,21585
1500,1125750,22115
1500,1125750,21456
1500,1125750,22222
1500,1125750,21614
1500,1125750,22218
1500,1125750,21534
1500,1125750,22611
1500,1125750,21666
1750,1532125,30361
1750,1532125,29302
1750,1532125,30061
1750,1532125,29233
1750,1532125,30390
1750,1532125,29231
1750,1532125,31152
1750,1532125,29578
1750,1532125,30432
1750,1532125,29186
1750,1532125,30308
1750,1532125,29200
1750,1532125,30077
1750,1532125,29252
1750,1532125,30243
1750,1532125,29346
1750,1532125,30141
1750,1532125,29937
1750,1532125,30166
1750,1532125,29209
1750,1532125,30504
1750,1532125,29433
1750,1532125,30033
1750,1532125,29446
1750,1532125,30483
1750,1532125,29817
1750,1532125,30166
1750,1532125,29323
1750,1532125,30179
1750,1532125,29183
1750,1532125,30060
1750,1532125,29177
1750,1532125,30530
1750,1532125,29343
1750,1532125,30037
1750,1532125,29750
1750,1532125,31047
1750,1532125,29241
1750,1532125,30234
1750,1532125,29272
1750,1532125,30026
1750,1532125,29197
1750,1532125,30116
1750,1532125,29185
1750,1532125,30663
1750,1532125,31077
1750,1532125,30628
1750,1532125,29204
1750,1532125,30381
1750,1532125,29167
2000,2001000,39726
2000,2001000,38121
2000,2001000,40211
2000,2001000,38178
2000,2001000,40438
2000,2001000,38731
2000,2001000,39279
2000,2001000,38557
2000,2001000,40326
2000,2001000,39633
2000,2001000,39369
2000,2001000,38331
2000,2001000,39600
2000,2001000,38470
2000,2001000,39368
2000,2001000,38219
2000,2001000,40727
2000,2001000,38140
2000,2001000,39395
2000,2001000,38803
2000,2001000,39409
2000,2001000,38416
2000,2001000,39753
2000,2001000,39359
2000,2001000,39318
2000,2001000,38132
2000,2001000,39453
2000,2001000,38209
2000,2001000,39477
2000,2001000,38389
2000,2001000,40157
2000,2001000,38128
2000,2001000,39291
2000,2001000,39390
2000,2001000,39445
2000,2001000,38388
2000,2001000,39392
2000,2001000,40334
2000,2001000,39597
2000,2001000,39250
2000,2001000,39539
2000,2001000,38668
2000,2001000,40553
2000,2001000,38369
2000,2001000,39263
2000,2001000,38525
2000,2001000,41282
2000,2001000,38465
2000,2001000,39814
2000,2001000,38137
2500,3126250,63372
2500,3126250,59525
2500,3126250,61492
2500,3126250,59997
2500,3126250,61092
2500,3126250,63091
2500,3126250,61526
2500,3126250,59887
2500,3126250,71133
2500,3126250,61546
2500,3126250,62209
2500,3126250,62161
2500,3126250,62211
2500,3126250,59716
2500,3126250,62348
2500,3126250,60650
2500,3126250,61149
2500,3126250,59889
2500,3126250,63086
2500,3126250,60303
2500,3126250,61374
2500,3126250,61841
2500,3126250,61177
2500,3126250,59569
2500,3126250,62041
2500,3126250,60820
2500,3126250,61075
2500,3126250,62107
2500,3126250,61293
2500,3126250,59693
2500,3126250,61473
2500,3126250,60126
2500,3126250,61323
2500,3126250,61389
2500,3126250,62262
2500,3126250,59664
2500,3126250,64284
2500,3126250,59767
2500,3126250,63142
2500,3126250,63042
2500,3126250,64446
2500,3126250,61660
2500,3126250,63474
2500,3126250,62820
2500,3126250,64500
2500,3126250,69446
2500,3126250,63554
2500,3126250,63236
2500,3126250,63083
2500,3126250,63168
3000,4501500,90132
3000,4501500,87184
3000,4501500,88723
3000,4501500,85778
3000,4501500,88303
3000,4501500,86048
3000,4501500,90855
3000,4501500,86052
3000,4501500,92579
3000,4501500,85852
3000,4501500,88669
3000,4501500,86473
3000,4501500,88423
3000,4501500,85932
3000,4501500,87658
3000,4501500,86882
3000,4501500,87747
3000,4501500,88446
3000,4501500,87804
3000,4501500,85962
3000,4501500,88048
3000,4501500,86103
3000,4501500,88022
3000,4501500,86638
3000,4501500,89752
3000,4501500,86866
3000,4501500,89520
3000,4501500,86250
3000,4501500,88106
3000,4501500,86463
3000,4501500,88014
3000,4501500,85753
3000,4501500,88016
3000,4501500,88725
3000,4501500,87962
3000,4501500,87348
3000,4501500,88301
3000,4501500,87565
3000,4501500,88067
3000,4501500,86548
3000,4501500,87757
3000,4501500,88201
3000,4501500,87870
3000,4501500,85695
3000,4501500,90431
3000,4501500,92562
3000,4501500,91949
3000,4501500,85681
3000,4501500,88455
3000,4501500,87248
4000,8002000,155972
4000,8002000,152399
4000,8002000,157365
4000,8002000,154041
4000,8002000,155502
4000,8002000,156567
4000,8002000,156747
4000,8002000,152735
4000,8002000,163542
4000,8002000,154531
4000,8002000,163964
4000,8002000,153483
4000,8002000,156279
4000,8002000,153333
4000,8002000,155677
4000,8002000,153498
4000,8002000,157032
4000,8002000,152837
4000,8002000,164176
4000,8002000,155077
4000,8002000,155100
4000,8002000,152696
4000,8002000,157089
4000,8002000,153406
4000,8002000,156501
4000,8002000,154374
4000,8002000,161392
4000,8002000,152474
4000,8002000,155343
4000,8002000,154918
4000,8002000,156025
4000,8002000,156973
4000,8002000,154907
4000,8002000,154602
4000,8002000,155001
4000,8002000,155356
4000,8002000,160678
4000,8002000,160031
4000,8002000,164621
4000,8002000,158198
4000,8002000,161587
4000,8002000,157349
4000,8002000,154904
4000,8002000,152420
4000,8002000,157659
4000,8002000,153710
4000,8002000,155670
4000,8002000,154074
4000,8002000,157268
4000,8002000,152804
5000,12502500,244948
5000,12502500,239697
5000,12502500,243655
5000,12502500,241410
5000,12502500,245441
5000,12502500,240003
5000,12502500,241967
5000,12502500,240342
5000,12502500,248792
5000,12502500,262868
5000,12502500,246508
5000,12502500,249375
5000,12502500,280068
5000,12502500,254852
5000,12502500,244610
5000,12502500,246797
5000,12502500,251676
5000,12502500,255288
5000,12502500,276949
5000,12502500,280234
5000,12502500,282016
5000,12502500,243589
5000,12502500,272614
5000,12502500,251966
5000,12502500,291484
5000,12502500,252396
5000,12502500,254153
5000,12502500,289673
5000,12502500,261060
5000,12502500,253371
5000,12502500,256256
5000,12502500,261103
5000,12502500,252596
5000,12502500,266968
5000,12502500,258589
5000,12502500,258099
5000,12502500,259302
5000,12502500,245994
5000,12502500,253744
5000,12502500,249881
5000,12502500,251852
5000,12502500,246200
5000,12502500,243580
5000,12502500,247885
5000,12502500,248540
5000,12502500,238391
5000,12502500,245191
5000,12502500,256282
5000,12502500,259646
5000,12502500,246563
7000,24503500,487652
7000,24503500,471352
7000,24503500,474607
7000,24503500,499018
7000,24503500,477982
7000,24503500,474690
7000,24503500,480154
7000,24503500,474473
7000,24503500,476859
7000,24503500,474475
7000,24503500,485584
7000,24503500,467954
7000,24503500,479612
7000,24503500,469334
7000,24503500,477381
7000,24503500,475008
7000,24503500,474561
7000,24503500,476753
7000,24503500,478779
7000,24503500,475253
7000,24503500,509629
7000,24503500,472145
7000,24503500,520461
7000,24503500,489210
7000,24503500,478614
7000,24503500,480070
7000,24503500,478928
7000,24503500,471968
7000,24503500,486228
7000,24503500,475594
7000,24503500,488220
7000,24503500,475049
7000,24503500,476670
7000,24503500,496595
7000,24503500,473998
7000,24503500,481990
7000,24503500,473621
7000,24503500,470585
7000,24503500,475790
7000,24503500,480749
7000,24503500,478766
7000,24503500,469333
7000,24503500,482638
7000,24503500,472464
7000,24503500,473975
7000,24503500,469490
7000,24503500,483137
7000,24503500,487219
7000,24503500,479181
7000,24503500,470597
8000,32004000,623787
8000,32004000,618506
8000,32004000,627281
8000,32004000,614736
8000,32004000,622933
8000,32004000,618216
8000,32004000,618577
8000,32004000,614207
8000,32004000,616972
8000,32004000,644742
8000,32004000,622338
8000,32004000,620494
8000,32004000,647066
8000,32004000,645056
8000,32004000,636123
8000,32004000,625639
8000,32004000,669946
8000,32004000,652670
8000,32004000,656513
8000,32004000,627172
8000,32004000,670820
8000,32004000,619163
8000,32004000,639212
8000,32004000,643128
8000,32004000,615753
8000,32004000,623547
8000,32004000,625902
8000,32004000,648719
8000,32004000,622146
8000,32004000,625885
8000,32004000,631473
8000,32004000,614887
8000,32004000,648021
8000,32004000,618223
8000,32004000,620725
8000,32004000,664533
8000,32004000,628812
8000,32004000,622473
8000,32004000,632094
8000,32004000,624485
8000,32004000,620977
8000,32004000,614381
8000,32004000,638294
8000,32004000,627469
8000,32004000,659094
8000,32004000,650600
8000,32004000,667785
8000,32004000,658066
8000,32004000,700826
8000,32004000,630370
9000,40504500,808982
9000,40504500,814435
9000,40504500,799746
9000,40504500,796394
9000,40504500,816255
9000,40504500,809269
9000,40504500,798832
9000,40504500,807143
9000,40504500,822261
9000,40504500,795122
9000,40504500,808865
9000,40504500,799386
9000,40504500,855906
9000,40504500,845096
9000,40504500,822729
9000,40504500,814973
9000,40504500,820109
9000,40504500,828377
9000,40504500,818345
9000,40504500,830343
9000,40504500,826253
9000,40504500,792825
9000,40504500,788774
9000,40504500,805016
9000,40504500,813679
9000,40504500,831316
9000,40504500,835221
9000,40504500,835507
9000,40504500,816725
9000,40504500,785581
9000,40504500,780304
9000,40504500,793650
9000,40504500,793484
9000,40504500,780456
9000,40504500,797318
9000,40504500,788115
9000,40504500,788660
9000,40504500,787906
9000,40504500,810998
9000,40504500,782707
9000,40504500,793876
9000,40504500,842990
9000,40504500,799023
9000,40504500,819740
9000,40504500,827855
9000,40504500,833119
9000,40504500,818632
9000,40504500,779892
9000,40504500,784159
9000,40504500,849104
10000,50005000,1002023
