[pablo@voldemort bin]$ ./vecindad.sh 3 1 100 2 10000 100 --ColoresFijos --limitar
100,2500,2,28455084,530,35818962,530
200,10000,2,30772834,3236,70433489,3236
300,22500,2,12258449,6514,168630177,6514
400,40000,2,10776047,9400,287323851,9400
500,62500,2,29223811,15500,603859345,15500
600,90000,2,21606578,19500,1198130856,19500
700,122500,2,28282122,28886,1611369726,28886
800,160000,2,34686720,35424,2397213253,35424
900,202500,2,40709061,45000,2606499564,45000
1000,250000,2,84439451,53786,4595774190,53786
1100,302500,2,61501197,71790,5884628467,71790
1200,360000,2,81022235,85200,7194899288,85200
1300,422500,2,95055566,111458,11371207296,111458
^C[pablo@voldemort bin]$ ./vecindad.sh 3 1 100 7 10000 100 --ColoresFijos --limitar
100,2500,7,31982551,54,9475155,50
200,10000,7,36668148,109,14059615,100
300,22500,7,31783283,610,26920145,580
400,40000,7,25276214,215,8671764,200
500,62500,7,35254660,1505,69269591,1442
600,90000,7,41492373,1857,96252072,1685
700,122500,7,81173072,1084,71783425,1033
800,160000,7,104733444,1332,98526714,1200
900,202500,7,164641357,2321,230696578,2251
1000,250000,7,130610746,2168,218181832,2002
1100,302500,7,172106405,2301,252376047,2150
1200,360000,7,192333952,3046,276888457,3002
1300,422500,7,243853260,2692,264414810,2613
1400,490000,7,328254082,5695,664320734,5611
1500,562500,7,337737456,6167,712089885,6002
1600,640000,7,392547971,11351,1455276978,11174
1700,722500,7,715608147,6901,933716801,6901
1800,810000,7,562909212,18182,2972004390,17562
1900,902500,7,630400631,4866,720212241,4866
2000,1000000,7,710766637,8050,1270933150,8008
2100,1102500,7,773789197,12962,2165517419,12369
2200,1210000,7,880675865,11211,1901471493,11000
2300,1322500,7,683470957,16320,3220090320,16103
2400,1440000,7,871425623,13267,2628048215,13213
2500,1562500,7,1113775781,23843,5261922583,23751
2600,1690000,7,955505970,20867,4618510248,20801
2700,1822500,7,1327226307,18900,3457876626,18900
2800,1960000,7,998788726,25654,4947997875,23429
2900,2102500,7,1105309183,26250,7330723097,26106
3000,2250000,7,1325633327,22779,5672409345,22503
3100,2402500,7,1280038561,37473,9347644136,35280
3200,2560000,7,1657348878,19564,5546800520,19215
3300,2722500,7,2610589736,11782,3462193740,11576
3400,2890000,7,1567023682,29064,8257702234,28906
3500,3062500,7,1728444929,29910,8111771137,27888
3600,3240000,7,1847731305,32523,9305298023,32415
3700,3422500,7,2052417757,53986,14853050060,51904
3800,3610000,7,2017810016,46253,14422818322,44768
3900,3802500,7,2227927951,13943,4393192597,13671
4000,4000000,7,2503751421,30693,10431869249,29993
4100,4202500,7,2489198610,22946,7545142132,22565
4200,4410000,7,2416300560,74209,23075643067,63546
4300,4622500,7,2955458343,26249,9854421616,25828
4400,4840000,7,3075111384,86236,30109515457,85801
4500,5062500,7,3521965245,67707,23011253866,67707
4600,5290000,7,3012045850,81247,23888909172,77630
4700,5522500,7,3673280167,75471,25145011051,75471
4800,5760000,7,5315522193,33929,12012338188,33629
4900,6002500,7,5658525538,44402,16293432199,44126
5000,6250000,7,4342689004,42500,18999340239,42500
5100,6502500,7,4169496820,102839,39636652375,88413
5200,6760000,7,5207027201,49634,18747662764,49421
