### TEST INCREMENTANDO NODOS (grafos completos)
Vamos aumentando la cantidad de nodos, manteniendo la cantidad de colores en 50. La cantidad de aristas para cada caso es máxima (grafo completo).
===========================
n,m,c,tiempo greedy,conflictos greedy,tiempo busqueda local v1, conflictos busqueda local v1,tiempo busqueda local v2, conflictos busqueda local v2
2000,1826,50,4090836,0,4949,0,3908,0
2000,1826,50,4460993,0,5559,0,3223,0
2000,1826,50,5199625,2,53867,2,45511,2
2000,1826,50,4668143,1,42801,1,34161,1
2000,1826,50,4467082,1,36973,1,34507,1
2000,2191,50,5015409,1,51687,1,34350,1
2000,2191,50,4784768,1,39008,1,32358,1
2000,2191,50,5380202,0,6442,0,3610,0
2000,2191,50,4744236,1,44646,1,33312,1
2000,2191,50,4231218,0,6977,0,4599,0
2000,2629,50,4539296,0,5302,0,3010,0
2000,2629,50,5130366,1,54823,1,42684,1
2000,2629,50,4603183,1,38719,1,25522,1
2000,2629,50,4703963,2,71195,2,56053,2
2000,2629,50,4657230,4,157498,3,81019,3
2000,3154,50,5095019,1,50737,0,41073,0
2000,3154,50,5326389,2,115653,2,51456,2
2000,3154,50,5281843,1,39977,1,27976,1
2000,3154,50,5533862,4,82284,4,86436,4
2000,3154,50,5043788,2,66721,1,49903,1
2000,3784,50,10001728,1,54130,1,63295,1
2000,3784,50,6012447,0,4977,0,2561,0
2000,3784,50,6238946,1,54594,1,31975,1
2000,3784,50,7308644,4,139604,4,82608,4
2000,3784,50,5656897,0,7859,0,4957,0
2000,4540,50,6190883,4,96727,3,82122,3
2000,4540,50,6612237,4,120218,4,77323,4
2000,4540,50,6198232,4,86799,4,91879,4
2000,4540,50,7612843,3,70438,3,56128,3
2000,4540,50,6547290,1,40813,1,30709,1
2000,5448,50,7142578,2,83767,2,94627,2
2000,5448,50,11361067,11,312494,10,259252,10
2000,5448,50,8344327,4,86992,4,102125,4
2000,5448,50,6975218,1,39808,1,29762,1
2000,5448,50,7120349,3,71508,3,60696,3
2000,6537,50,8412803,4,93372,4,85694,4
2000,6537,50,9180213,3,78648,3,69074,3
2000,6537,50,8612794,6,151694,5,185850,5
2000,6537,50,8517039,5,106914,5,100362,5
2000,6537,50,8496867,4,104718,4,128742,4
2000,7844,50,10041455,4,88775,4,92122,4
2000,7844,50,9757394,4,104349,3,94515,3
2000,7844,50,10526536,7,205041,7,240391,7
2000,7844,50,9800286,0,5094,0,8134,0
2000,7844,50,9762002,6,126751,6,109544,6
2000,9412,50,11103548,3,82280,3,71850,3
2000,9412,50,11500598,8,184855,8,161271,8
2000,9412,50,11635236,1,42207,1,35600,1
2000,9412,50,13814929,2,71622,2,64016,2
2000,9412,50,12880234,4,103377,4,106106,4
2000,11294,50,13983340,3,80590,3,78741,3
2000,11294,50,14568933,4,113538,3,105900,3
2000,11294,50,14283987,5,120139,5,115436,5
2000,11294,50,15935522,3,86596,3,104757,3
2000,11294,50,27953788,6,206217,6,148848,6
2000,13552,50,31135001,5,152787,4,170424,4
2000,13552,50,32112494,4,126492,4,129026,4
2000,13552,50,34438900,3,92874,2,82493,2
2000,13552,50,18461307,1,45644,1,42482,1
2000,13552,50,17118142,5,107714,5,97654,5
2000,16262,50,19190547,5,142111,5,124865,5
2000,16262,50,18882372,7,161373,6,166213,6
2000,16262,50,18834386,15,320720,13,354477,13
2000,16262,50,19242553,8,184746,6,180289,6
2000,16262,50,19835986,22,452700,21,433913,21
2000,19514,50,27530573,11,273835,10,237633,10
2000,19514,50,25791590,6,121218,6,132110,6
2000,19514,50,38191532,8,386728,7,113129,7
2000,19514,50,32097592,7,98043,5,68901,5
2000,19514,50,25337465,16,116109,15,109190,15
2000,23416,50,30369327,19,148737,16,145557,16
2000,23416,50,32840882,14,122962,10,122167,10
2000,23416,50,31205627,12,127800,8,146893,8
2000,23416,50,30058515,18,159418,16,120485,16
2000,23416,50,31000251,9,86458,6,88087,6
2000,28099,50,44993559,16,160883,15,133304,15
2000,28099,50,40500913,20,159602,18,162312,18
2000,28099,50,39443548,8,86602,6,78381,6
2000,28099,50,37596177,11,87691,10,80139,10
2000,28099,50,38579409,13,109079,11,110905,11
2000,33718,50,48175784,28,316010,20,362918,20
2000,33718,50,48617851,25,213885,21,195506,21
2000,33718,50,47522121,37,281395,33,264589,33
2000,33718,50,48015190,32,248179,26,241889,26
2000,33718,50,48245244,19,185110,14,203360,14
2000,40461,50,60209537,37,350333,29,309665,28
2000,40461,50,58399994,34,264314,25,271661,25
2000,40461,50,58731965,30,284628,25,252315,25
2000,40461,50,61687341,29,280886,26,234123,26
2000,40461,50,91550160,17,233560,11,164345,11
2000,48553,50,70197525,29,334312,22,302680,22
2000,48553,50,70150863,53,467864,44,457124,43
2000,48553,50,75178240,27,235204,22,335467,22
2000,48553,50,70145527,37,339063,31,400598,31
2000,48553,50,69992628,50,440108,43,453032,43
2000,58263,50,85707025,48,504569,40,519453,39
2000,58263,50,91716442,44,450987,36,403035,36
2000,58263,50,88343854,45,479520,37,448224,37
2000,58263,50,89692938,23,251162,20,268260,20
2000,58263,50,87060984,79,745632,68,707630,68
2000,69915,50,123618060,85,1301242,57,939201,59
2000,69915,50,135464322,71,1041540,57,811767,57
2000,69915,50,112823071,66,796402,50,749638,51
2000,69915,50,112020064,71,684851,56,794095,54
2000,69915,50,110786055,73,933961,57,765013,57
2000,83898,50,139336498,133,1662090,101,1661250,100
2000,83898,50,140536857,125,1486114,95,1446138,96
2000,83898,50,135129296,130,1552774,100,2431844,100
2000,83898,50,134725743,162,1926606,130,1883611,129
2000,83898,50,138195750,129,1538130,110,1479286,109
2000,100677,50,180207527,200,3312525,161,2655757,160
2000,100677,50,179191138,206,2891660,162,3656743,164
2000,100677,50,173892683,180,2339019,150,2143968,148
2000,100677,50,173648894,150,1960773,107,2030591,105
2000,100677,50,175107717,105,1461447,81,1350391,81
2000,120812,50,210559158,331,5366490,258,5659883,265
2000,120812,50,226644087,202,3275842,154,3309826,152
2000,120812,50,225145522,235,3517626,184,4011276,184
2000,120812,50,218541970,271,4170471,219,4279023,219
2000,120812,50,218341138,280,4512387,234,4525132,235
2000,144974,50,278820802,374,8491450,309,9065531,304
2000,144974,50,280396828,428,9008174,341,8796326,333
2000,144974,50,285738136,412,8891166,318,10335777,323
2000,144974,50,301076394,468,9876859,372,9628056,373
2000,144974,50,269403157,504,10565338,431,10452489,427
2000,173968,50,360539162,666,18137361,545,18653371,549
2000,173968,50,351230667,706,19790930,573,19779480,580
2000,173968,50,341288665,728,20132415,623,20398656,617
2000,173968,50,338526997,717,20331274,600,20205229,606
2000,173968,50,348972600,639,20990668,535,25743563,519
