### TESTS VECINDAD 1
Vamos aumentando la cantidad de nodos, manteniendo la cantidad de colores en 50. La cantidad de aristas para cada caso es máxima (grafo completo).
===========================
n,m,c,tiempo greedy,conflictos greedy,tiempo busqueda local v1, conflictos busqueda local v1
2000,5448,50,7162215,2,7247,2
2000,5448,50,7301883,6,11317,6
2000,5448,50,7360631,4,9226,4
2000,5448,50,7349339,2,6349,2
2000,5448,50,7298903,0,1260,0
2000,6537,50,9608725,4,10140,4
2000,6537,50,9008635,2,7116,2
2000,6537,50,8484308,1,5827,1
2000,6537,50,9007322,1,5272,1
2000,6537,50,13340261,1,5763,1
2000,7844,50,9671947,2,7683,1
2000,7844,50,9338539,5,11145,4
2000,7844,50,9569213,4,11287,3
2000,7844,50,10076792,2,8141,1
2000,7844,50,9471636,0,1651,0
2000,9412,50,10966525,2,7290,2
2000,9412,50,10979040,2,8480,1
2000,9412,50,10798932,2,7632,2
2000,9412,50,11019951,8,15438,7
2000,9412,50,10725988,7,14640,6
2000,11294,50,13088256,5,11252,5
2000,11294,50,16925125,4,11333,4
2000,11294,50,13499403,7,15461,7
2000,11294,50,13607734,3,9185,3
2000,11294,50,12808364,5,12623,4
2000,13552,50,15139751,11,25401,6
2000,13552,50,15069206,12,24898,11
2000,13552,50,15852823,8,18780,7
2000,13552,50,16717582,8,19543,8
2000,13552,50,16218960,8,20035,6
2000,16262,50,19349281,15,32848,15
2000,16262,50,30620256,8,21286,8
2000,16262,50,19124806,3,11711,2
2000,16262,50,20189783,9,22688,8
2000,16262,50,18126470,8,19169,7
2000,19514,50,22844494,7,19864,5
2000,19514,50,22789729,9,25203,8
2000,19514,50,23474054,11,29039,10
2000,19514,50,23574387,8,23709,6
2000,19514,50,23354283,1,8659,1
2000,23416,50,31942270,14,39307,12
2000,23416,50,30076385,18,48300,14
2000,23416,50,27845576,8,23999,8
2000,23416,50,27844842,12,49358,11
2000,23416,50,27465286,14,65946,12
2000,28099,50,34116236,28,117019,23
2000,28099,50,34856583,16,55910,14
2000,28099,50,34753298,19,76569,16
2000,28099,50,34188664,14,51291,13
2000,28099,50,34780696,24,79362,22
2000,33718,50,44071358,10,46993,7
2000,33718,50,43075381,27,84994,25
2000,33718,50,41879533,36,179318,30
2000,33718,50,42482883,21,72726,18
2000,33718,50,44729607,26,87873,20
2000,40461,50,54110957,27,110599,24
2000,40461,50,54849746,23,114140,20
2000,40461,50,52075894,20,84320,17
2000,40461,50,52364782,36,140938,31
2000,40461,50,60693942,30,127821,18
2000,48553,50,66629754,34,192497,25
2000,48553,50,65215435,52,241650,44
2000,48553,50,65090129,66,315984,61
2000,48553,50,67840709,18,105740,15
2000,48553,50,70114141,45,226802,35
2000,58263,50,83301063,59,396807,44
2000,58263,50,82445151,77,491319,64
2000,58263,50,81109376,63,389960,54
2000,58263,50,93989568,92,493079,77
2000,58263,50,81145097,70,375059,63
2000,69915,50,106243944,70,571943,51
2000,69915,50,104994040,78,570821,59
2000,69915,50,116666958,64,522227,52
2000,69915,50,103211876,99,702955,82
2000,69915,50,104626925,68,541511,57
2000,83898,50,129947007,122,1115508,92
2000,83898,50,129896048,154,1411798,123
2000,83898,50,132949179,84,874150,63
2000,83898,50,126909407,160,1428097,135
2000,83898,50,130379209,103,1008380,85
2000,100677,50,170548585,129,1608640,96
2000,100677,50,166926869,159,2377810,129
2000,100677,50,162616468,167,2061323,131
2000,100677,50,165340873,178,2005502,147
2000,100677,50,187755606,187,2232478,157
2000,120812,50,206327534,326,4617087,283
2000,120812,50,208569546,271,4240141,218
2000,120812,50,202743186,291,4217502,241
2000,120812,50,204054144,312,4772257,258
2000,120812,50,228950948,279,4207365,227
2000,144974,50,261313108,383,8139402,304
2000,144974,50,287839467,552,10647852,472
2000,144974,50,269883717,380,7712348,306
2000,144974,50,258802909,474,9560447,380
2000,144974,50,266099998,423,8031561,349
2000,173968,50,335740756,647,19515176,528
2000,173968,50,339699948,676,17268489,553
2000,173968,50,353483707,758,19956669,636
2000,173968,50,324393633,693,17740158,556
2000,173968,50,346439060,757,18755373,642
2000,208761,50,414298846,1050,35978064,906
2000,208761,50,401339900,1074,36531722,927
2000,208761,50,442615936,1011,41448315,823
2000,208761,50,409878744,1085,36457624,937
2000,208761,50,423793595,1082,37612190,912
2000,250513,50,525678842,1491,65048512,1296
2000,250513,50,489256280,1556,65944595,1355
2000,250513,50,525262745,1603,72820348,1377
2000,250513,50,507584835,1678,73637472,1472
2000,250513,50,473650354,1614,70024194,1366
2000,300615,50,641651154,2220,118563303,1888
2000,300615,50,665068601,2212,134172128,1902
2000,300615,50,630259999,2351,125793306,2019
2000,300615,50,597152466,2334,125779176,1998
2000,300615,50,644934257,2214,120008020,1878
2000,360738,50,788335317,3368,188351887,2910
2000,360738,50,779731177,3326,238767995,2894
